characterID;Name;Team;url;isDead;isCaptured;isHurt
2;Addam Marbrand;Lannister;/index.php/Addam_Marbrand;0;0;0
7;Aegon Frey (Jinglebell);Frey;/index.php/Aegon_Frey_(Jinglebell);0;0;0
8;Aegon I Targaryen;Targaryen;/index.php/Aegon_I_Targaryen;1;0;0
12;Aegon Targaryen;Night Watch;/index.php/Aegon_Targaryen;0;0;0
20;Aemon Targaryen;Targaryen;/index.php/Aemon_Targaryen;1;0;0
25;Aeron Greyjoy;Greyjoy;/index.php/Aeron_Greyjoy;0;0;0
27;Aerys II Targaryen;Targaryen;/index.php/Aerys_II_Targaryen;1;0;0
41;Alebelly;Stark;/index.php/Alebelly;0;0;0
48;Alester Florent;Stannis;/index.php/Alester_Florent;0;0;0
51;Alfyn;Wildling;/index.php/Alfyn;0;0;0
55;Allar Deem;Lannister;/index.php/Allar_Deem;0;0;0
93;Amory Lorch;Lannister;/index.php/Amory_Lorch;0;0;0
105;Antario Jast;Lannister;/index.php/Antario_Jast;0;0;0
110;Areo Hotah;Martell;/index.php/Areo_Hotah;0;0;0
113;Arianne Martell;Arianne;/index.php/Arianne_Martell;0;0;0
120;Arnolf Karstark;Stark;/index.php/Arnolf_Karstark;0;0;0
121;Aron Santagar;Robert;/index.php/Aron_Santagar;0;0;0
130;Arthur Dayne;Targaryen;/index.php/Arthur_Dayne;1;0;0
136;Arya Stark;Stark;/index.php/Arya_Stark;0;0;0
137;Arys Oakheart;King's guard;/index.php/Arys_Oakheart;0;0;0
138;Asha Greyjoy;Greyjoy;/index.php/Asha_Greyjoy;0;0;0
142;Aurane Waters;Stannis;/index.php/Aurane_Waters;0;0;0
143;Axell Florent;Stannis;/index.php/Axell_Florent;0;0;0
152;Balman Byrch;Lannister;/index.php/Balman_Byrch;0;0;0
154;Balon Greyjoy;Greyjoy;/index.php/Balon_Greyjoy;0;0;0
155;Balon Swann;Robert;/index.php/Balon_Swann;0;0;0
161;Barra;Robert;/index.php/Barra;0;0;0
163;Barristan Selmy;Robert;/index.php/Barristan_Selmy;0;0;0
183;Belwas;Targaryen;/index.php/Belwas;0;0;0
188;Ben Plumm;Second Sons;/index.php/Ben_Plumm;0;0;0
192;Benfred Tallhart;Stark;/index.php/Benfred_Tallhart;0;0;0
194;Benjen Stark;Night Watch;/index.php/Benjen_Stark;0;0;0
204;Beric Dondarrion;Robert;/index.php/Beric_Dondarrion;0;0;0
224;Biter;none;/index.php/Biter;0;0;0
234;Boros Blount;King's guard;/index.php/Boros_Blount;0;0;0
237;Bowen Marsh;Night Watch;/index.php/Bowen_Marsh;0;0;0
240;Bran Stark;Stark;/index.php/Bran_Stark;0;0;0
243;Brandon Stark;Stark;/index.php/Brandon_Stark;0;0;0
255;Brienne of Tarth;Renly;/index.php/Brienne_of_Tarth;0;0;0
256;Bronn;Tyrion;/index.php/Bronn;0;0;0
265;Brynden Tully;Stark;/index.php/Brynden_Tully;0;0;0
287;Catelyn Tully;Stark;/index.php/Catelyn_Tully;0;0;0
295;Cersei Lannister;Lannister;/index.php/Cersei_Lannister;0;0;0
298;Chayle;Stark;/index.php/Chayle;0;0;0
303;Chiswyck;Lannister;/index.php/Chiswyck;0;0;0
311;Cleos Frey;Frey;/index.php/Cleos_Frey;0;0;0
319;Colemon;Citadel;/index.php/Colemon;0;0;0
328;Cortnay Penrose;Renly;/index.php/Cortnay_Penrose;0;0;0
331;Cotter Pyke;Night Watch;/index.php/Cotter_Pyke;0;0;0
333;Cragorn;Greyjoy;/index.php/Cragorn;0;0;0
334;Craster;Wildling;/index.php/Craster;0;0;0
344;Daario Naharis;Stormcrows;/index.php/Daario_Naharis;0;0;0
345;Dacey Mormont;Stark;/index.php/Dacey_Mormont;0;0;0
352;Daenerys Targaryen;Targaryen;/index.php/Daenerys_Targaryen;0;0;0
369;Dalla;Wildling;/index.php/Dalla;0;0;0
381;Dareon;Night Watch;/index.php/Dareon;0;0;0
382;Daryn Hornwood;Stark;/index.php/Daryn_Hornwood;0;0;0
385;Davos Seaworth;Stannis;/index.php/Davos_Seaworth;0;0;0
409;Dick Crabb;none;/index.php/Dick_Crabb;0;0;0
414;Dirk;Night Watch;/index.php/Dirk;0;0;0
418;Donal Noye;Night Watch;/index.php/Donal_Noye;0;0;0
420;Donella Manderly;Stark;/index.php/Donella_Manderly;0;0;0
429;Dontos Hollard;Robert;/index.php/Dontos_Hollard;0;0;0
431;Doran Martell;Martell;/index.php/Doran_Martell;0;0;0
438;Drogo;Drogo;/index.php/Drogo;0;0;0
450;Dywen;Night Watch;/index.php/Dywen;0;0;0
452;Ebben;Night Watch;/index.php/Ebben;0;0;0
455;Eddard Karstark;Stark;/index.php/Eddard_Karstark;0;0;0
